employee_id,gender,team,financial_q,role_seniority,leadership_for_level,productivity,salary
24581,Woman,Client services,2020 Q2,Entry-level,Appropriate for level,54,"$28,300"
24581,Woman,Client services,2020 Q1,Entry-level,Appropriate for level,54,"$28,300"
24581,Woman,Client services,2019 Q4,Entry-level,Appropriate for level,53,"$28,300"
24581,Woman,Client services,2019 Q3,Entry-level,Appropriate for level,53,"$28,300"
24580,Woman,Client services,2020 Q4,Entry-level,Appropriate for level,43,"$27,900"
24579,Woman,Client services,2020 Q4,Entry-level,Appropriate for level,54,"$28,600"
24579,Woman,Client services,2020 Q3,Entry-level,Appropriate for level,52,"$28,600"
24578,Woman,Client services,2020 Q4,Entry-level,Appropriate for level,68,"$31,600"
24578,Woman,Client services,2020 Q3,Entry-level,Appropriate for level,69,"$31,600"
24578,Woman,Client services,2020 Q2,Entry-level,Appropriate for level,69,"$31,600"
24577,Woman,Client services,2020 Q4,Entry-level,Appropriate for level,74,"$26,600"
24576,Woman,Client services,2020 Q4,Entry-level,Appropriate for level,56,"$30,400"
24576,Woman,Client services,2020 Q3,Entry-level,Appropriate for level,57,"$30,400"
24575,Man,Client services,2020 Q4,Entry-level,Appropriate for level,73,"$32,300"
24575,Man,Client services,2020 Q3,Entry-level,Appropriate for level,73,"$32,300"
24575,Man,Client services,2020 Q2,Entry-level,Exceeds expectations,72,"$32,300"
24575,Man,Client services,2020 Q1,Entry-level,Appropriate for level,72,"$32,300"
24575,Man,Client services,2019 Q4,Entry-level,Appropriate for level,73,"$32,300"
24575,Man,Client services,2019 Q3,Entry-level,Appropriate for level,71,"$32,300"
24574,Man,Client services,2020 Q4,Entry-level,Appropriate for level,78,"$36,000"
24574,Man,Client services,2020 Q3,Entry-level,Appropriate for level,77,"$36,000"
24573,Woman,Client services,2020 Q4,Entry-level,Appropriate for level,64,"$30,600"
24573,Woman,Client services,2020 Q3,Entry-level,Appropriate for level,64,"$30,600"
24572,Woman,Client services,2020 Q4,Entry-level,Appropriate for level,66,"$26,700"
24572,Woman,Client services,2020 Q3,Entry-level,Appropriate for level,66,"$26,700"
24572,Woman,Client services,2020 Q2,Entry-level,Appropriate for level,64,"$26,700"
24572,Woman,Client services,2020 Q1,Entry-level,Appropriate for level,65,"$26,700"
24571,Man,Client services,2020 Q4,Entry-level,Appropriate for level,47,"$35,400"
24571,Man,Client services,2020 Q3,Entry-level,Appropriate for level,46,"$35,400"
24571,Man,Client services,2020 Q2,Entry-level,Appropriate for level,45,"$35,400"
24571,Man,Client services,2020 Q1,Entry-level,Appropriate for level,46,"$35,400"
24570,Man,Client services,2020 Q4,Entry-level,Appropriate for level,52,"$36,100"
24570,Man,Client services,2020 Q3,Entry-level,Appropriate for level,52,"$36,100"
24569,Prefer not to say,Client services,2020 Q4,Entry-level,Appropriate for level,56,"$29,400"
24569,Prefer not to say,Client services,2020 Q3,Entry-level,Appropriate for level,54,"$29,400"
24569,Prefer not to say,Client services,2020 Q2,Entry-level,Appropriate for level,55,"$29,400"
24569,Prefer not to say,Client services,2020 Q1,Entry-level,Appropriate for level,56,"$29,400"
24569,Prefer not to say,Client services,2019 Q4,Entry-level,Appropriate for level,54,"$29,400"
24568,Woman,Client services,2020 Q4,Entry-level,Appropriate for level,39,"$28,800"
24568,Woman,Client services,2020 Q3,Entry-level,Appropriate for level,40,"$28,800"
24568,Woman,Client services,2020 Q2,Entry-level,Appropriate for level,39,"$28,800"
24568,Woman,Client services,2020 Q1,Entry-level,Appropriate for level,39,"$28,800"
24567,Woman,Client services,2020 Q4,Entry-level,Appropriate for level,58,"$25,100"
24566,Man,Client services,2020 Q4,Entry-level,Appropriate for level,54,"$29,700"
24566,Man,Client services,2020 Q3,Entry-level,Appropriate for level,53,"$29,700"
24566,Man,Client services,2020 Q2,Entry-level,Appropriate for level,52,"$29,700"
24566,Man,Client services,2020 Q1,Entry-level,Appropriate for level,53,"$29,700"
24565,Woman,Client services,2020 Q4,Entry-level,Appropriate for level,37,"$28,700"
24565,Woman,Client services,2020 Q3,Entry-level,Appropriate for level,36,"$28,700"
24564,Woman,Client services,2020 Q4,Entry-level,Appropriate for level,41,"$30,000"
24564,Woman,Client services,2020 Q3,Entry-level,Appropriate for level,41,"$30,000"
24564,Woman,Client services,2020 Q2,Entry-level,Appropriate for level,40,"$30,000"
24564,Woman,Client services,2020 Q1,Entry-level,Appropriate for level,41,"$30,000"
24563,Woman,Client services,2020 Q4,Entry-level,Appropriate for level,50,"$25,900"
24563,Woman,Client services,2020 Q3,Entry-level,Appropriate for level,49,"$25,900"
24563,Woman,Client services,2020 Q2,Entry-level,Appropriate for level,49,"$25,900"
24563,Woman,Client services,2020 Q1,Entry-level,Appropriate for level,49,"$25,900"
24562,Woman,Client services,2020 Q4,Entry-level,Appropriate for level,56,"$34,000"
24562,Woman,Client services,2020 Q3,Entry-level,Appropriate for level,56,"$34,000"
24562,Woman,Client services,2020 Q2,Entry-level,Appropriate for level,55,"$34,000"
24561,Woman,Client services,2020 Q4,Entry-level,Appropriate for level,50,"$34,900"
24561,Woman,Client services,2020 Q3,Entry-level,Appropriate for level,49,"$34,900"
24561,Woman,Client services,2020 Q2,Entry-level,Appropriate for level,48,"$34,900"
24561,Woman,Client services,2020 Q1,Entry-level,Appropriate for level,49,"$34,900"
24560,Woman,Client services,2020 Q4,Entry-level,Appropriate for level,52,"$25,300"
24560,Woman,Client services,2020 Q3,Entry-level,Appropriate for level,51,"$25,300"
24560,Woman,Client services,2020 Q2,Entry-level,Appropriate for level,52,"$25,300"
24560,Woman,Client services,2020 Q1,Entry-level,Appropriate for level,51,"$25,300"
24560,Woman,Client services,2019 Q4,Entry-level,Appropriate for level,51,"$25,300"
24560,Woman,Client services,2019 Q3,Entry-level,Appropriate for level,51,"$25,300"
24559,Woman,Client services,2020 Q4,Entry-level,Appropriate for level,60,"$34,500"
24559,Woman,Client services,2020 Q3,Entry-level,Appropriate for level,60,"$34,500"
24559,Woman,Client services,2020 Q2,Entry-level,Appropriate for level,59,"$34,500"
24559,Woman,Client services,2020 Q1,Entry-level,Appropriate for level,58,"$34,500"
24559,Woman,Client services,2019 Q4,Entry-level,Appropriate for level,58,"$34,500"
24559,Woman,Client services,2019 Q3,Entry-level,Appropriate for level,57,"$34,500"
24558,Woman,Client services,2020 Q4,Entry-level,Appropriate for level,95,"$27,900"
24558,Woman,Client services,2020 Q3,Entry-level,Appropriate for level,96,"$27,900"
24558,Woman,Client services,2020 Q2,Entry-level,Appropriate for level,96,"$27,900"
24558,Woman,Client services,2020 Q1,Entry-level,Appropriate for level,96,"$27,900"
24557,Woman,Client services,2020 Q4,Entry-level,Appropriate for level,78,"$29,900"
24557,Woman,Client services,2020 Q3,Entry-level,Appropriate for level,79,"$29,900"
24556,Woman,Client services,2020 Q4,Entry-level,Appropriate for level,56,"$25,800"
24556,Woman,Client services,2020 Q3,Entry-level,Appropriate for level,56,"$25,800"
24556,Woman,Client services,2020 Q2,Entry-level,Appropriate for level,55,"$25,800"
24556,Woman,Client services,2020 Q1,Entry-level,Needs improvement,54,"$25,800"
24555,Man,Client services,2020 Q4,Entry-level,Appropriate for level,65,"$29,000"
24555,Man,Client services,2020 Q3,Entry-level,Appropriate for level,62,"$29,000"
24554,Woman,Client services,2020 Q4,Entry-level,Appropriate for level,64,"$32,900"
24554,Woman,Client services,2020 Q3,Entry-level,Appropriate for level,65,"$32,900"
24554,Woman,Client services,2020 Q2,Entry-level,Appropriate for level,64,"$32,900"
24554,Woman,Client services,2020 Q1,Entry-level,Appropriate for level,62,"$32,900"
24553,Man,Client services,2020 Q4,Entry-level,Exceeds expectations,69,"$29,500"
24553,Man,Client services,2020 Q3,Entry-level,Appropriate for level,69,"$29,500"
24553,Man,Client services,2020 Q2,Entry-level,Appropriate for level,68,"$29,500"
24553,Man,Client services,2020 Q1,Entry-level,Appropriate for level,67,"$29,500"
24553,Man,Client services,2019 Q4,Entry-level,Appropriate for level,67,"$29,500"
24553,Man,Client services,2019 Q3,Entry-level,Appropriate for level,68,"$29,500"
24552,Woman,Client services,2020 Q4,Entry-level,Appropriate for level,73,"$29,500"
24552,Woman,Client services,2020 Q3,Entry-level,Appropriate for level,73,"$29,500"
24552,Woman,Client services,2020 Q2,Entry-level,Appropriate for level,73,"$29,500"
24551,Woman,Client services,2020 Q4,Entry-level,Appropriate for level,54,"$26,700"
24551,Woman,Client services,2020 Q3,Entry-level,Appropriate for level,54,"$26,700"
24551,Woman,Client services,2020 Q2,Entry-level,Appropriate for level,53,"$26,700"
24551,Woman,Client services,2020 Q1,Entry-level,Appropriate for level,53,"$26,700"
24551,Woman,Client services,2019 Q4,Entry-level,Appropriate for level,52,"$26,700"
24551,Woman,Client services,2019 Q3,Entry-level,Appropriate for level,53,"$26,700"
24550,Woman,Client services,2020 Q4,Entry-level,Appropriate for level,55,"$27,100"
24550,Woman,Client services,2020 Q3,Entry-level,Appropriate for level,56,"$27,100"
24550,Woman,Client services,2020 Q2,Entry-level,Appropriate for level,56,"$27,100"
24549,Woman,Client services,2020 Q4,Entry-level,Appropriate for level,25,"$34,000"
24549,Woman,Client services,2020 Q3,Entry-level,Appropriate for level,25,"$34,000"
24549,Woman,Client services,2020 Q2,Entry-level,Appropriate for level,24,"$34,000"
24549,Woman,Client services,2020 Q1,Entry-level,Needs improvement,25,"$34,000"
24548,Man,Client services,2020 Q4,Entry-level,Appropriate for level,55,"$34,300"
24548,Man,Client services,2020 Q3,Entry-level,Appropriate for level,55,"$34,300"
24547,Man,Client services,2020 Q4,Entry-level,Appropriate for level,47,"$32,100"
24547,Man,Client services,2020 Q3,Entry-level,Appropriate for level,46,"$32,100"
24546,Woman,Client services,2020 Q4,Entry-level,Appropriate for level,81,"$33,800"
24546,Woman,Client services,2020 Q3,Entry-level,Appropriate for level,80,"$33,800"
24545,Woman,Client services,2020 Q4,Entry-level,Appropriate for level,59,"$29,000"
24545,Woman,Client services,2020 Q3,Entry-level,Appropriate for level,58,"$29,000"
24545,Woman,Client services,2020 Q2,Entry-level,Appropriate for level,59,"$29,000"
24545,Woman,Client services,2020 Q1,Entry-level,Appropriate for level,59,"$29,000"
24544,Woman,Client services,2020 Q4,Entry-level,Appropriate for level,58,"$25,900"
24543,Man,Client services,2020 Q4,Entry-level,Appropriate for level,51,"$34,400"
24543,Man,Client services,2020 Q3,Entry-level,Appropriate for level,49,"$34,400"
24543,Man,Client services,2020 Q2,Entry-level,Appropriate for level,51,"$34,400"
24543,Man,Client services,2020 Q1,Entry-level,Appropriate for level,50,"$34,400"
24542,Woman,Client services,2020 Q4,Entry-level,Appropriate for level,58,"$26,600"
24542,Woman,Client services,2020 Q3,Entry-level,Appropriate for level,59,"$26,600"
24541,Woman,Client services,2020 Q4,Entry-level,Appropriate for level,72,"$29,600"
24541,Woman,Client services,2020 Q3,Entry-level,Appropriate for level,72,"$29,600"
24541,Woman,Client services,2020 Q2,Entry-level,Appropriate for level,72,"$29,600"
24541,Woman,Client services,2020 Q1,Entry-level,Appropriate for level,72,"$29,600"
24541,Woman,Client services,2019 Q4,Entry-level,Appropriate for level,69,"$29,600"
24541,Woman,Client services,2019 Q3,Entry-level,Appropriate for level,70,"$29,600"
24540,Woman,Client services,2020 Q4,Junior I,Appropriate for level,47,"$32,100"
24540,Woman,Client services,2020 Q3,Junior I,Appropriate for level,45,"$32,100"
24540,Woman,Client services,2020 Q2,Junior I,Appropriate for level,46,"$32,100"
24540,Woman,Client services,2020 Q1,Junior I,Appropriate for level,44,"$32,100"
24540,Woman,Client services,2019 Q4,Entry-level,Appropriate for level,47,"$28,400"
24540,Woman,Client services,2019 Q3,Entry-level,Appropriate for level,27,"$28,400"
24540,Woman,Client services,2019 Q2,Entry-level,Appropriate for level,26,"$28,400"
24540,Woman,Client services,2019 Q1,Entry-level,Needs improvement,26,"$28,400"
24540,Woman,Client services,2018 Q4,Entry-level,Needs improvement,26,"$28,400"
24540,Woman,Client services,2018 Q3,Entry-level,Needs improvement,26,"$28,400"
24540,Woman,Client services,2018 Q2,Entry-level,Appropriate for level,26,"$28,400"
24540,Woman,Client services,2018 Q1,Entry-level,Needs improvement,25,"$28,400"
24539,Woman,Client services,2020 Q4,Junior I,Appropriate for level,48,"$29,300"
24539,Woman,Client services,2020 Q3,Junior I,Appropriate for level,47,"$29,300"
24539,Woman,Client services,2020 Q2,Junior I,Appropriate for level,47,"$29,300"
24539,Woman,Client services,2020 Q1,Entry-level,Appropriate for level,59,"$25,600"
24539,Woman,Client services,2019 Q4,Entry-level,Appropriate for level,38,"$25,600"
24539,Woman,Client services,2019 Q3,Entry-level,Appropriate for level,36,"$25,600"
24539,Woman,Client services,2019 Q2,Entry-level,Appropriate for level,37,"$25,600"
24539,Woman,Client services,2019 Q1,Entry-level,Appropriate for level,37,"$25,600"
24538,Woman,Client services,2020 Q4,Junior I,Appropriate for level,41,"$33,700"
24538,Woman,Client services,2020 Q3,Junior I,Appropriate for level,41,"$33,700"
24538,Woman,Client services,2020 Q2,Junior I,Appropriate for level,40,"$33,700"
24538,Woman,Client services,2020 Q1,Junior I,Appropriate for level,39,"$33,700"
24538,Woman,Client services,2019 Q4,Junior I,Appropriate for level,39,"$33,700"
24538,Woman,Client services,2019 Q3,Entry-level,Appropriate for level,69,"$29,900"
24538,Woman,Client services,2019 Q2,Entry-level,Appropriate for level,48,"$29,900"
24538,Woman,Client services,2019 Q1,Entry-level,Appropriate for level,48,"$29,900"
24538,Woman,Client services,2018 Q4,Entry-level,Appropriate for level,48,"$29,900"
24538,Woman,Client services,2018 Q3,Entry-level,Appropriate for level,47,"$29,900"
24538,Woman,Client services,2018 Q2,Entry-level,Appropriate for level,47,"$29,900"
24537,Man,Client services,2020 Q4,Junior I,Appropriate for level,50,"$39,600"
24537,Man,Client services,2020 Q3,Junior I,Appropriate for level,50,"$39,600"
24537,Man,Client services,2020 Q2,Junior I,Appropriate for level,49,"$39,600"
24537,Man,Client services,2020 Q1,Junior I,Appropriate for level,49,"$39,600"
24537,Man,Client services,2019 Q4,Junior I,Appropriate for level,46,"$39,600"
24537,Man,Client services,2019 Q3,Junior I,Appropriate for level,48,"$39,600"
24537,Man,Client services,2019 Q2,Junior I,Appropriate for level,48,"$39,600"
24537,Man,Client services,2019 Q1,Junior I,Appropriate for level,47,"$39,600"
24537,Man,Client services,2018 Q4,Junior I,Appropriate for level,46,"$39,600"
24537,Man,Client services,2018 Q3,Entry-level,Appropriate for level,63,"$35,900"
24537,Man,Client services,2018 Q2,Entry-level,Appropriate for level,42,"$35,900"
24536,Man,Client services,2020 Q4,Junior I,Appropriate for level,59,"$38,700"
24536,Man,Client services,2020 Q3,Junior I,Exceeds expectations,57,"$38,700"
24536,Man,Client services,2020 Q2,Junior I,Appropriate for level,57,"$38,700"
24536,Man,Client services,2020 Q1,Junior I,Appropriate for level,56,"$38,700"
24536,Man,Client services,2019 Q4,Junior I,Appropriate for level,57,"$38,700"
24536,Man,Client services,2019 Q3,Junior I,Appropriate for level,56,"$38,700"
24536,Man,Client services,2019 Q2,Junior I,Appropriate for level,54,"$38,700"
24536,Man,Client services,2019 Q1,Junior I,Appropriate for level,55,"$38,700"
24536,Man,Client services,2018 Q4,Junior I,Appropriate for level,55,"$38,700"
24536,Man,Client services,2018 Q3,Entry-level,Exceeds expectations,89,"$34,900"
24536,Man,Client services,2018 Q2,Entry-level,Appropriate for level,69,"$34,900"
24536,Man,Client services,2018 Q1,Entry-level,Exceeds expectations,68,"$34,900"
24535,Man,Client services,2020 Q4,Junior I,Appropriate for level,59,"$32,900"
24535,Man,Client services,2020 Q3,Junior I,Appropriate for level,61,"$32,900"
24535,Man,Client services,2020 Q2,Junior I,Appropriate for level,58,"$32,900"
24535,Man,Client services,2020 Q1,Junior I,Appropriate for level,59,"$32,900"
24535,Man,Client services,2019 Q4,Junior I,Appropriate for level,58,"$32,900"
24535,Man,Client services,2019 Q3,Entry-level,Appropriate for level,66,"$29,200"
24534,Woman,Client services,2020 Q4,Junior I,Appropriate for level,55,"$29,600"
24534,Woman,Client services,2020 Q3,Junior I,Appropriate for level,54,"$29,600"
24534,Woman,Client services,2020 Q2,Junior I,Appropriate for level,55,"$29,600"
24534,Woman,Client services,2020 Q1,Junior I,Appropriate for level,55,"$29,600"
24534,Woman,Client services,2019 Q4,Junior I,Appropriate for level,53,"$29,600"
24534,Woman,Client services,2019 Q3,Junior I,Appropriate for level,53,"$29,600"
24534,Woman,Client services,2019 Q2,Junior I,Appropriate for level,52,"$29,600"
24534,Woman,Client services,2019 Q1,Junior I,Appropriate for level,52,"$29,600"
24534,Woman,Client services,2018 Q4,Junior I,Appropriate for level,53,"$29,600"
24534,Woman,Client services,2018 Q3,Junior I,Appropriate for level,51,"$29,600"
24534,Woman,Client services,2018 Q2,Junior I,Appropriate for level,53,"$29,600"
24534,Woman,Client services,2018 Q1,Junior I,Appropriate for level,51,"$29,600"
24533,Man,Client services,2020 Q4,Junior I,Appropriate for level,33,"$39,400"
24533,Man,Client services,2020 Q3,Junior I,Appropriate for level,34,"$39,400"
24533,Man,Client services,2020 Q2,Junior I,Appropriate for level,33,"$39,400"
24533,Man,Client services,2020 Q1,Junior I,Appropriate for level,33,"$39,400"
24533,Man,Client services,2019 Q4,Junior I,Appropriate for level,30,"$39,400"
24533,Man,Client services,2019 Q3,Junior I,Appropriate for level,31,"$39,400"
24533,Man,Client services,2019 Q2,Entry-level,Appropriate for level,62,"$35,600"
24533,Man,Client services,2019 Q1,Entry-level,Appropriate for level,41,"$35,600"
24533,Man,Client services,2018 Q4,Entry-level,Appropriate for level,40,"$35,600"
24533,Man,Client services,2018 Q3,Entry-level,Appropriate for level,41,"$35,600"
24533,Man,Client services,2018 Q2,Entry-level,Appropriate for level,40,"$35,600"
24533,Man,Client services,2018 Q1,Entry-level,Appropriate for level,40,"$35,600"
24532,Woman,Client services,2020 Q4,Junior I,Appropriate for level,32,"$37,600"
24532,Woman,Client services,2020 Q3,Junior I,Appropriate for level,34,"$37,600"
24532,Woman,Client services,2020 Q2,Junior I,Appropriate for level,33,"$37,600"
24532,Woman,Client services,2020 Q1,Junior I,Appropriate for level,33,"$37,600"
24532,Woman,Client services,2019 Q4,Junior I,Appropriate for level,33,"$37,600"
24532,Woman,Client services,2019 Q3,Junior I,Needs improvement,33,"$37,600"
24532,Woman,Client services,2019 Q2,Junior I,Appropriate for level,32,"$37,600"
24532,Woman,Client services,2019 Q1,Junior I,Appropriate for level,32,"$37,600"
24531,Woman,Client services,2020 Q4,Junior I,Appropriate for level,68,"$32,200"
24531,Woman,Client services,2020 Q3,Junior I,Appropriate for level,66,"$32,200"
24531,Woman,Client services,2020 Q2,Junior I,Appropriate for level,67,"$32,200"
24531,Woman,Client services,2020 Q1,Junior I,Appropriate for level,66,"$32,200"
24531,Woman,Client services,2019 Q4,Entry-level,Appropriate for level,83,"$28,500"
24531,Woman,Client services,2019 Q3,Entry-level,Appropriate for level,63,"$28,500"
24531,Woman,Client services,2019 Q2,Entry-level,Appropriate for level,63,"$28,500"
24531,Woman,Client services,2019 Q1,Entry-level,Appropriate for level,62,"$28,500"
24531,Woman,Client services,2018 Q4,Entry-level,Appropriate for level,62,"$28,500"
24530,Man,Client services,2020 Q4,Junior I,Appropriate for level,36,"$33,400"
24530,Man,Client services,2020 Q3,Junior I,Appropriate for level,34,"$33,400"
24530,Man,Client services,2020 Q2,Junior I,Appropriate for level,35,"$33,400"
24530,Man,Client services,2020 Q1,Junior I,Appropriate for level,35,"$33,400"
24530,Man,Client services,2019 Q4,Junior I,Appropriate for level,35,"$33,400"
24530,Man,Client services,2019 Q3,Junior I,Appropriate for level,34,"$33,400"
24530,Man,Client services,2019 Q2,Entry-level,Appropriate for level,70,"$29,700"
24530,Man,Client services,2019 Q1,Entry-level,Appropriate for level,49,"$29,700"
24530,Man,Client services,2018 Q4,Entry-level,Appropriate for level,49,"$29,700"
24530,Man,Client services,2018 Q3,Entry-level,Appropriate for level,47,"$29,700"
24530,Man,Client services,2018 Q2,Entry-level,Appropriate for level,48,"$29,700"
24529,Man,Client services,2020 Q4,Junior I,Appropriate for level,61,"$31,300"
24529,Man,Client services,2020 Q3,Junior I,Appropriate for level,61,"$31,300"
24529,Man,Client services,2020 Q2,Junior I,Appropriate for level,60,"$31,300"
24529,Man,Client services,2020 Q1,Junior I,Appropriate for level,60,"$31,300"
24529,Man,Client services,2019 Q4,Junior I,Appropriate for level,60,"$31,300"
24529,Man,Client services,2019 Q3,Junior I,Appropriate for level,58,"$31,300"
24529,Man,Client services,2019 Q2,Junior I,Appropriate for level,58,"$31,300"
24529,Man,Client services,2019 Q1,Junior I,Appropriate for level,59,"$31,300"
24529,Man,Client services,2018 Q4,Entry-level,Appropriate for level,41,"$27,600"
24528,Woman,Client services,2020 Q4,Junior I,Appropriate for level,52,"$35,700"
24528,Woman,Client services,2020 Q3,Junior I,Appropriate for level,51,"$35,700"
24528,Woman,Client services,2020 Q2,Junior I,Appropriate for level,52,"$35,700"
24528,Woman,Client services,2020 Q1,Junior I,Appropriate for level,51,"$35,700"
24528,Woman,Client services,2019 Q4,Junior I,Appropriate for level,51,"$35,700"
24528,Woman,Client services,2019 Q3,Junior I,Appropriate for level,50,"$35,700"
24527,Man,Client services,2020 Q4,Junior I,Appropriate for level,17,"$33,500"
24527,Man,Client services,2020 Q3,Junior I,Appropriate for level,15,"$33,500"
24527,Man,Client services,2020 Q2,Junior I,Appropriate for level,16,"$33,500"
24527,Man,Client services,2020 Q1,Junior I,Appropriate for level,15,"$33,500"
24527,Man,Client services,2019 Q4,Junior I,Appropriate for level,13,"$33,500"
24527,Man,Client services,2019 Q3,Junior I,Appropriate for level,13,"$33,500"
24527,Man,Client services,2019 Q2,Junior I,Appropriate for level,13,"$33,500"
24527,Man,Client services,2019 Q1,Junior I,Appropriate for level,13,"$33,500"
24527,Man,Client services,2018 Q4,Junior I,Appropriate for level,13,"$33,500"
24526,Man,Client services,2020 Q4,Junior I,Appropriate for level,23,"$34,900"
24526,Man,Client services,2020 Q3,Junior I,Appropriate for level,23,"$34,900"
24526,Man,Client services,2020 Q2,Junior I,Appropriate for level,23,"$34,900"
24526,Man,Client services,2020 Q1,Junior I,Appropriate for level,22,"$34,900"
24526,Man,Client services,2019 Q4,Junior I,Appropriate for level,22,"$34,900"
24526,Man,Client services,2019 Q3,Junior I,Appropriate for level,23,"$34,900"
